"B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied","id","Geographic Area Name"
"1358","230","702","189","656","138","1400000US13067030278","Census Tract 302.78, Cobb County, Georgia"
"1729","120","1568","130","161","69","1400000US13067030319","Census Tract 303.19, Cobb County, Georgia"
"1203","129","1104","139","99","61","1400000US13067030322","Census Tract 303.22, Cobb County, Georgia"
"1379","213","1232","211","147","68","1400000US13067030324","Census Tract 303.24, Cobb County, Georgia"
"1397","114","1352","121","45","46","1400000US13067030326","Census Tract 303.26, Cobb County, Georgia"
"1796","303","1505","158","291","278","1400000US13067030327","Census Tract 303.27, Cobb County, Georgia"
"1596","218","1370","215","226","87","1400000US13067030329","Census Tract 303.29, Cobb County, Georgia"
"1973","218","1926","219","47","35","1400000US13067030331","Census Tract 303.31, Cobb County, Georgia"
"1104","150","994","151","110","65","1400000US13067030332","Census Tract 303.32, Cobb County, Georgia"
"1136","86","1034","99","102","69","1400000US13067030334","Census Tract 303.34, Cobb County, Georgia"
"1668","109","1546","119","122","71","1400000US13067030335","Census Tract 303.35, Cobb County, Georgia"
"1793","309","1746","308","47","34","1400000US13067030337","Census Tract 303.37, Cobb County, Georgia"
"1370","189","1310","179","60","43","1400000US13067030340","Census Tract 303.40, Cobb County, Georgia"
"1556","203","1425","205","131","78","1400000US13067030341","Census Tract 303.41, Cobb County, Georgia"
"1588","114","1440","120","148","67","1400000US13067030342","Census Tract 303.42, Cobb County, Georgia"
"1773","326","1743","327","30","25","1400000US13067030343","Census Tract 303.43, Cobb County, Georgia"
"2022","236","194","68","1828","246","1400000US13067030344","Census Tract 303.44, Cobb County, Georgia"
"3133","335","450","147","2683","351","1400000US13067030345","Census Tract 303.45, Cobb County, Georgia"
"1622","469","1237","465","385","159","1400000US13067030346","Census Tract 303.46, Cobb County, Georgia"
"1394","170","1115","196","279","105","1400000US13067030347","Census Tract 303.47, Cobb County, Georgia"
"1590","155","1394","168","196","132","1400000US13067030348","Census Tract 303.48, Cobb County, Georgia"
"1231","201","1032","207","199","120","1400000US13067030349","Census Tract 303.49, Cobb County, Georgia"
"802","51","739","65","63","35","1400000US13067030350","Census Tract 303.50, Cobb County, Georgia"
"1016","248","966","260","50","72","1400000US13067030351","Census Tract 303.51, Cobb County, Georgia"
"2200","554","1960","532","240","289","1400000US13067030352","Census Tract 303.52, Cobb County, Georgia"
"1510","225","886","205","624","160","1400000US13067030353","Census Tract 303.53, Cobb County, Georgia"
"1802","189","1403","194","399","144","1400000US13067030354","Census Tract 303.54, Cobb County, Georgia"
"992","225","0","14","992","225","1400000US13067030355","Census Tract 303.55, Cobb County, Georgia"
"2644","307","394","97","2250","315","1400000US13067030356","Census Tract 303.56, Cobb County, Georgia"
"751","147","722","148","29","42","1400000US13067030357","Census Tract 303.57, Cobb County, Georgia"
"1281","265","1211","276","70","44","1400000US13067030358","Census Tract 303.58, Cobb County, Georgia"
"1468","107","1343","139","125","86","1400000US13067030359","Census Tract 303.59, Cobb County, Georgia"
"811","137","791","136","20","28","1400000US13067030360","Census Tract 303.60, Cobb County, Georgia"
"1373","200","1007","200","366","162","1400000US13067030361","Census Tract 303.61, Cobb County, Georgia"
"1172","249","1105","251","67","64","1400000US13067030362","Census Tract 303.62, Cobb County, Georgia"
"1307","261","1131","276","176","99","1400000US13067030363","Census Tract 303.63, Cobb County, Georgia"
"886","113","800","96","86","88","1400000US13067030364","Census Tract 303.64, Cobb County, Georgia"
"1127","170","994","155","133","104","1400000US13067030365","Census Tract 303.65, Cobb County, Georgia"
"1040","219","985","218","55","44","1400000US13067030366","Census Tract 303.66, Cobb County, Georgia"
"823","115","711","131","112","90","1400000US13067030367","Census Tract 303.67, Cobb County, Georgia"
"917","166","858","181","59","49","1400000US13067030368","Census Tract 303.68, Cobb County, Georgia"
"1111","242","1111","242","0","14","1400000US13067030369","Census Tract 303.69, Cobb County, Georgia"
"1394","287","1384","287","10","20","1400000US13067030370","Census Tract 303.70, Cobb County, Georgia"
"2905","306","1043","246","1862","251","1400000US13067030405","Census Tract 304.05, Cobb County, Georgia"
"2235","405","1593","400","642","180","1400000US13067030407","Census Tract 304.07, Cobb County, Georgia"
"1188","105","769","103","419","93","1400000US13067030408","Census Tract 304.08, Cobb County, Georgia"
"1227","132","1160","137","67","54","1400000US13067030409","Census Tract 304.09, Cobb County, Georgia"
"2128","367","995","331","1133","227","1400000US13067030410","Census Tract 304.10, Cobb County, Georgia"
"789","138","75","37","714","137","1400000US13067030411","Census Tract 304.11, Cobb County, Georgia"
"2014","274","401","174","1613","213","1400000US13067030412","Census Tract 304.12, Cobb County, Georgia"
"2341","197","270","108","2071","226","1400000US13067030413","Census Tract 304.13, Cobb County, Georgia"
"1313","153","0","14","1313","153","1400000US13067030414","Census Tract 304.14, Cobb County, Georgia"
"2644","191","509","161","2135","203","1400000US13067030505","Census Tract 305.05, Cobb County, Georgia"
"1832","241","779","91","1053","253","1400000US13067030506","Census Tract 305.06, Cobb County, Georgia"
"2294","513","2088","513","206","83","1400000US13067030507","Census Tract 305.07, Cobb County, Georgia"
"1216","178","811","133","405","170","1400000US13067030508","Census Tract 305.08, Cobb County, Georgia"
"1502","280","1438","284","64","43","1400000US13067030509","Census Tract 305.09, Cobb County, Georgia"
"743","223","463","237","280","225","1400000US13067030510","Census Tract 305.10, Cobb County, Georgia"
"1598","182","1179","197","419","158","1400000US13067030511","Census Tract 305.11, Cobb County, Georgia"
"3136","356","2262","347","874","223","1400000US13067030602","Census Tract 306.02, Cobb County, Georgia"
"2596","364","890","272","1706","285","1400000US13067030603","Census Tract 306.03, Cobb County, Georgia"
"1562","109","527","188","1035","175","1400000US13067030604","Census Tract 306.04, Cobb County, Georgia"
"1972","320","902","246","1070","202","1400000US13067030700","Census Tract 307, Cobb County, Georgia"
"1484","192","583","133","901","179","1400000US13067030800","Census Tract 308, Cobb County, Georgia"
"1650","295","998","219","652","211","1400000US13067030906","Census Tract 309.06, Cobb County, Georgia"
"1556","158","1098","145","458","128","1400000US13067030907","Census Tract 309.07, Cobb County, Georgia"
"1411","197","968","210","443","147","1400000US13067030908","Census Tract 309.08, Cobb County, Georgia"
"774","206","654","226","120","77","1400000US13067030909","Census Tract 309.09, Cobb County, Georgia"
"1252","140","595","176","657","167","1400000US13067030910","Census Tract 309.10, Cobb County, Georgia"
"1330","248","542","200","788","186","1400000US13067030911","Census Tract 309.11, Cobb County, Georgia"
"2187","277","1083","167","1104","263","1400000US13067030912","Census Tract 309.12, Cobb County, Georgia"
"1874","246","689","216","1185","188","1400000US13067031001","Census Tract 310.01, Cobb County, Georgia"
"3008","317","1015","246","1993","274","1400000US13067031004","Census Tract 310.04, Cobb County, Georgia"
"1651","176","1211","157","440","140","1400000US13067031005","Census Tract 310.05, Cobb County, Georgia"
"1543","248","648","214","895","198","1400000US13067031006","Census Tract 310.06, Cobb County, Georgia"
"1994","431","447","147","1547","424","1400000US13067031007","Census Tract 310.07, Cobb County, Georgia"
"2419","332","932","208","1487","333","1400000US13067031101","Census Tract 311.01, Cobb County, Georgia"
"1334","220","871","210","463","124","1400000US13067031110","Census Tract 311.10, Cobb County, Georgia"
"1863","143","1294","168","569","129","1400000US13067031111","Census Tract 311.11, Cobb County, Georgia"
"2473","372","1507","188","966","368","1400000US13067031112","Census Tract 311.12, Cobb County, Georgia"
